"","k","k.1","k.2","k.3","k.4","k.5","k.6","k.7","k.8","k.9","k.10","k.11","k.12","k.13","k.14","k.15","k.16","k.17","k.18","k.19","k.20","k.21","k.22","k.23","k.24","k.25","k.26","k.27","k.28","k.29","k.30","k.31","k.32","k.33","k.34","k.35","k.36","k.37","k.38","k.39","k.40","k.41","k.42","k.43","k.44","k.45","k.46","k.47","k.48","k.49"
"1",4,1,6,6,3,1,6,4,3,1,1,6,2,5,6,4,1,4,2,5,2,1,2,5,3,5,4,6,2,1,4,1,3,1,1,3,6,3,2,5,6,1,3,2,5,5,6,2,4,6
"2",2,4,2,5,2,2,5,4,2,2,3,5,4,3,4,6,4,6,5,5,2,1,2,3,5,3,2,5,6,1,4,6,4,5,2,1,6,3,1,6,5,6,1,5,3,4,3,3,4,4
"3",6,3,3,4,6,6,1,2,5,5,4,3,3,6,5,1,4,5,4,4,6,3,2,3,3,5,1,3,4,1,1,1,3,3,3,3,4,5,5,3,4,5,4,2,4,4,6,4,5,1
"4",1,4,2,5,5,6,1,2,1,5,5,6,3,3,4,3,6,4,6,5,5,4,1,5,5,2,2,6,4,3,6,6,4,4,3,1,5,5,5,5,2,5,4,4,6,1,1,5,5,4
"5",3,3,3,1,3,1,2,3,6,1,5,3,1,6,6,1,1,1,4,3,6,5,6,1,1,6,6,6,4,5,2,3,5,4,5,1,1,5,4,6,1,6,5,3,5,3,4,6,6,3
"6",2,5,4,5,4,1,4,4,3,3,6,6,3,2,6,6,3,2,5,4,4,1,2,4,3,4,1,5,1,1,3,1,6,6,2,5,4,1,6,6,6,5,2,2,4,6,3,4,2,6
"7",1,5,6,1,2,3,6,6,1,2,6,5,6,5,6,6,2,6,2,4,1,3,4,5,6,5,6,3,3,5,5,2,6,5,3,2,1,2,1,4,2,5,4,5,6,6,4,5,3,3
"8",4,5,3,6,1,6,3,5,1,3,6,1,2,5,6,6,1,1,1,6,6,1,1,6,3,4,6,2,6,3,1,6,5,5,4,5,1,2,2,6,2,5,1,5,3,2,4,6,5,2
"9",5,6,3,2,4,3,6,3,6,1,4,3,3,5,3,3,5,4,6,1,2,4,4,3,2,1,3,4,6,6,1,6,2,4,6,5,4,2,1,2,6,3,1,1,3,6,2,6,3,6
"10",6,6,6,3,5,4,6,3,1,3,5,4,4,2,6,3,4,6,1,4,2,6,6,4,5,5,3,6,4,1,4,3,4,5,4,5,3,1,2,4,1,4,2,3,4,1,6,3,3,5
"11",1,4,2,3,1,5,4,6,2,4,1,5,5,2,4,1,2,5,1,2,4,5,5,1,2,2,4,6,4,5,6,1,2,4,4,5,4,4,5,1,1,4,5,1,1,3,5,1,5,6
"12",1,3,4,2,5,2,4,6,4,6,1,1,3,4,1,2,5,3,2,3,4,2,3,1,4,1,6,5,3,6,3,6,4,6,1,4,4,5,1,5,5,3,2,1,1,1,2,6,5,5
"13",1,2,6,4,5,3,2,2,3,1,2,3,6,2,4,2,4,6,6,6,2,3,5,6,3,6,3,5,2,5,4,4,5,5,2,1,5,3,2,1,3,6,2,5,4,3,4,1,4,3
"14",1,1,3,6,3,4,1,2,5,4,5,2,5,2,4,2,2,6,1,6,4,3,5,5,2,4,4,5,3,1,2,6,3,2,3,2,1,1,1,1,3,2,3,4,5,4,5,3,1,4
"15",3,3,5,4,2,5,6,2,4,1,1,1,4,3,5,5,5,3,4,3,4,3,2,6,4,6,5,2,1,5,5,5,4,5,6,6,6,4,5,3,4,5,3,4,4,1,5,2,3,1
"16",3,4,6,1,3,3,2,2,2,6,3,1,5,1,5,5,5,2,4,1,6,5,6,6,4,2,2,6,4,5,6,5,5,1,6,4,3,3,4,4,4,2,3,5,2,4,3,1,1,5
"17",6,6,4,2,3,2,2,3,4,1,6,4,1,1,5,4,5,3,5,5,1,4,2,1,2,5,3,3,1,1,3,6,3,2,3,4,2,5,6,5,4,6,3,4,6,5,2,6,5,2
"18",1,2,5,2,3,1,3,4,4,1,5,6,5,4,2,2,5,3,1,1,2,1,3,5,6,5,4,6,3,2,5,4,5,3,6,2,6,4,4,2,3,1,3,2,6,6,2,5,6,1
"19",5,1,4,4,3,6,6,5,4,4,3,2,2,5,3,3,1,6,1,3,4,5,4,1,2,2,4,1,5,6,6,3,4,5,1,4,4,3,5,5,6,4,2,5,4,5,1,3,5,1
"20",3,6,6,3,5,4,5,2,4,2,4,1,5,3,3,5,5,5,3,1,6,2,5,1,6,6,4,2,2,6,5,5,1,2,1,6,2,3,2,4,1,6,3,6,3,1,3,3,6,2
"21",3,1,3,1,5,4,6,5,3,4,3,1,5,2,5,5,3,2,2,6,1,4,1,5,5,1,6,1,2,4,1,5,1,1,6,5,4,3,1,5,3,1,3,4,5,1,1,1,4,2
"22",2,2,6,5,3,1,5,2,6,5,4,5,5,6,3,1,5,4,2,6,4,5,4,3,5,2,2,6,6,2,4,1,2,3,3,5,3,5,1,1,5,5,1,3,3,3,4,3,3,2
"23",6,2,5,3,3,6,6,3,4,3,3,4,2,6,1,2,5,4,5,4,1,1,3,3,6,1,6,6,6,1,6,4,6,1,1,3,5,6,4,5,4,6,6,1,4,6,1,2,2,1
"24",1,6,4,4,2,6,3,6,1,4,5,5,1,3,5,3,6,6,5,6,2,5,1,4,6,3,3,2,4,1,5,2,1,1,2,2,2,2,6,3,2,1,3,6,5,1,2,2,2,3
"25",2,5,2,3,5,3,3,1,5,3,2,4,5,5,1,1,2,2,5,1,6,6,5,1,2,1,3,6,2,4,2,2,1,5,6,1,6,4,5,1,1,5,4,1,5,6,4,2,2,2
"26",3,3,4,3,3,5,3,2,2,6,6,4,5,6,4,5,4,3,5,5,3,3,6,3,2,2,3,4,2,5,6,4,2,4,3,1,6,4,4,2,2,4,5,3,3,4,5,1,4,6
"27",6,4,1,6,2,4,6,1,5,2,5,4,5,3,6,5,2,6,3,1,2,3,2,3,3,2,3,4,3,2,1,6,3,2,5,4,4,2,2,5,6,2,5,1,4,1,1,5,2,4
"28",6,4,3,5,1,5,4,3,1,4,1,6,6,5,1,5,2,4,2,3,2,5,6,3,6,5,3,6,3,3,5,5,4,1,4,1,4,3,4,1,1,4,6,5,3,2,1,4,3,5
"29",2,3,3,3,1,3,5,2,2,2,2,2,1,6,3,3,5,4,1,3,4,5,6,4,5,3,4,3,3,3,6,1,2,1,6,6,5,2,5,4,4,4,4,3,1,2,2,4,5,3
"30",2,3,4,5,1,2,5,1,4,2,4,3,1,2,5,5,1,6,1,5,2,2,3,6,4,1,5,5,5,6,5,3,5,5,3,5,2,3,5,1,6,4,1,4,6,1,4,1,1,2
"31",5,3,4,4,6,4,2,1,1,6,5,4,6,1,5,4,5,1,6,3,6,4,6,4,6,5,1,6,4,4,2,3,6,5,2,2,2,5,2,3,1,4,2,2,1,4,5,5,1,2
"32",3,3,2,5,4,3,3,3,3,4,3,3,2,2,5,3,4,3,5,5,6,3,3,1,2,4,1,4,3,2,1,4,5,1,1,1,3,2,1,5,5,5,5,2,5,3,5,6,2,5
"33",6,6,3,3,4,6,5,6,5,2,1,2,3,6,1,6,6,3,4,3,4,5,1,1,1,5,6,6,6,4,4,1,5,6,6,3,6,2,4,1,2,3,3,5,6,6,1,1,5,3
"34",2,3,6,5,6,1,6,1,2,2,6,2,1,4,5,4,1,5,4,4,5,3,4,3,4,3,1,3,4,3,2,3,6,2,4,4,5,3,5,1,6,6,2,4,1,5,6,2,3,2
"35",1,5,3,5,6,4,2,4,4,6,6,4,5,4,6,2,1,1,6,1,1,6,2,5,1,2,3,3,1,2,3,3,1,3,4,3,2,3,1,6,2,6,4,5,1,4,3,4,4,5
"36",2,3,5,5,4,2,2,2,6,3,3,2,4,6,6,5,5,4,1,6,5,5,6,5,3,1,5,2,6,6,2,6,5,4,5,1,4,3,2,2,5,5,6,4,6,2,6,5,3,5
"37",4,3,3,4,5,5,1,2,3,6,6,2,3,3,2,2,4,2,3,3,2,4,1,1,1,5,2,1,3,4,6,5,3,1,6,2,3,6,1,6,6,2,5,2,4,6,5,5,4,2
"38",2,1,3,5,3,1,4,5,4,6,5,5,3,3,3,5,1,5,4,4,5,2,5,2,2,1,6,4,1,4,6,3,4,2,3,1,6,1,2,6,2,5,3,6,2,6,4,2,5,3
"39",3,2,2,3,2,3,1,1,5,1,2,2,4,2,5,6,5,5,3,5,5,6,5,1,4,5,2,1,4,4,1,6,6,5,4,3,6,5,2,2,5,2,4,2,5,2,6,3,6,2
"40",3,5,5,1,1,3,2,3,2,4,4,1,4,1,6,3,6,3,2,5,1,1,3,4,4,3,6,5,1,2,1,4,5,5,2,4,4,3,2,4,3,1,3,4,6,3,2,1,3,1
"41",6,3,4,2,3,1,2,3,5,4,3,4,1,2,6,3,2,5,2,5,2,5,5,6,2,2,1,2,5,1,6,3,6,6,6,6,2,4,2,2,3,2,6,5,6,5,2,3,3,1
"42",1,4,3,4,2,5,6,1,6,5,3,1,6,5,6,3,6,5,2,2,4,3,6,2,4,2,6,3,4,3,4,1,2,1,5,2,4,3,2,2,1,1,4,5,3,1,1,3,4,1
"43",4,4,3,1,4,3,4,4,5,5,1,3,3,1,5,3,1,5,1,5,4,6,3,5,2,6,5,4,2,4,1,3,4,5,2,3,2,5,1,4,5,2,1,4,6,5,6,4,2,3
"44",1,4,3,2,3,5,3,6,4,6,2,3,6,3,5,4,2,4,2,5,1,3,1,5,1,3,3,6,3,5,2,2,5,6,5,3,2,6,6,4,6,2,3,4,3,5,6,2,1,2
"45",1,1,2,1,6,6,5,3,6,3,6,6,2,1,1,6,6,6,3,3,1,6,4,5,2,4,2,3,1,5,3,4,5,3,1,1,2,2,6,2,5,4,5,6,2,6,1,2,1,6
"46",6,5,1,3,4,5,1,1,3,3,1,2,1,1,3,3,6,2,5,2,6,5,1,3,4,6,5,6,2,1,4,5,5,4,5,3,6,6,2,2,2,6,5,3,6,1,3,2,5,5
"47",6,1,4,3,3,6,1,6,6,6,5,1,3,2,6,6,3,5,6,3,3,1,3,1,4,6,2,6,4,3,6,3,4,1,3,2,6,3,6,2,2,4,2,1,5,3,1,4,2,4
"48",3,5,1,4,6,5,4,3,4,2,6,2,4,2,3,1,3,6,5,6,1,4,3,1,5,1,3,2,5,3,4,5,4,6,1,6,5,1,6,4,4,2,3,4,3,5,5,1,1,1
"49",4,2,1,2,4,2,2,5,4,3,3,4,6,1,1,2,2,4,4,2,6,4,6,6,4,5,3,4,1,3,4,2,6,3,2,5,1,6,3,1,5,4,2,4,5,4,3,3,2,1
"50",5,5,6,4,1,1,5,4,2,2,6,3,1,5,4,4,5,6,3,5,4,5,1,2,2,4,6,4,4,1,6,6,2,6,2,4,6,5,5,5,4,4,3,1,4,3,1,3,6,3
